Document ID,Document,Time,Tokens to Annotate,Params,Number of Params
62,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Air_Supply_Its_Not_Easy.txt"")",1.818251371383667,891,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
63,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Air_Supply_Its_Not_Too_Late.txt"")",1.0940148830413818,1209,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
64,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Air_Supply_Just_Between_The_Lines.txt"")",0.5238416194915771,763,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
65,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Air_Supply_News_From_Nowhere.txt"")",0.9062657356262207,1164,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
66,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Air_Supply_Now_And_Forever.txt"")",0.5625014305114746,814,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
67,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Air_Supply_Shadow_Of_The_Sun.txt"")",0.8593733310699463,1211,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
68,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Air_Supply_Stronger_Than_The_Night.txt"")",0.5312619209289551,946,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
69,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Air_Supply_Thats_How_The_Whole_Thing_Started.txt"")",0.4531264305114746,855,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
70,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Air_Supply_Two_Less_Lonely_People_In_The_World.txt"")",0.7968482971191406,1501,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
71,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Air_Supply_Winter_Wonderland.txt"")",0.6254494190216064,983,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
72,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aiza_Seguerra_Home.txt"")",1.3281245231628418,1322,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
73,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aiza_Seguerra_One_And_Only_You.txt"")",0.4889383316040039,676,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
74,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aiza_Seguerra_Put_A_Little_Love_In_Your_Heart.txt"")",1.2041082382202148,1636,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
75,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aiza_Seguerra_Sorry.txt"")",0.8906264305114746,1123,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
76,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_A_Candle_In_The_Window.txt"")",0.8064615726470947,1051,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")",1.172903299331665,704,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
78,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Country_Side_Of_Life.txt"")",0.9843699932098389,1715,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
79,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Gonna_Have_A_Party.txt"")",1.1562824249267578,774,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
80,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Hanging_Up_My_Travelin_Shoes.txt"")",1.7968742847442627,833,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
81,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Hey_Baby.txt"")",0.9697432518005371,852,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
82,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_I_Wanna_Come_Over.txt"")",1.046875,1240,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
83,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_I_Want_To_Be_With_You_Tonight.txt"")",1.1718695163726807,1204,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
84,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Is_The_Magic_Still_There.txt"")",2.2825045585632324,1324,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
85,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Louisiana_Moon.txt"")",0.7343764305114746,1325,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
