Document ID,Document,Time,Tokens to Annotate,Params,Number of Params
116,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_I_Just_Wanna_Be_God.txt"")",2.2978463172912598,1331,coref,1
117,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Im_Always_Chasing_Rainbows.txt"")",0.9062478542327881,654,coref,1
118,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Im_Your_Gun.txt"")",6.187505722045898,2119,coref,1
119,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Nothings_Free.txt"")",2.609405040740967,1540,coref,1
120,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Nuclear_Infected.txt"")",1.76558256149292,1177,coref,1
121,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Painting_A_Picture.txt"")",0.39515066146850586,417,coref,1
122,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Prettiest_Cop_On_The_Block.txt"")",5.812138795852661,1981,coref,1
123,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_Cooper_Prince_Of_Darkness.txt"")",2.4062652587890625,1292,coref,1
124,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Acid_Bubble.txt"")",0.7656030654907227,783,coref,1
125,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Again.txt"")",1.6875016689300537,1154,coref,1
126,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Angry_Chair.txt"")",2.3280909061431885,1284,coref,1
127,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Black_Gives_Way_To_Blue.txt"")",0.5086812973022461,412,coref,1
128,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Check_My_Brain.txt"")",1.9342408180236816,810,coref,1
129,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Dont_Follow.txt"")",1.3642475605010986,769,coref,1
130,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Down_In_A_Hole.txt"")",2.5625319480895996,1292,coref,1
131,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alice_In_Chains_Foolish.txt"")",0.7812302112579346,636,coref,1
